tier,id,name,brand,subBrand,pitchKey,archetype,displayPriority,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default,topPickReason,differentiator1Title,differentiator1Detail,differentiator2Title,differentiator2Detail
silver,s2,Restore Firm,Purple,Restore,,Responsive firm grid hybrid,1,7,Firm,,,Grid Hybrid|Firm|Responsive,Firm grid-over-coil with airflow,no,support|responsive|firm|pressureRelief,,,,,,,,,Firm grid-over-coil support with airflow and pressure relief.,Firm grid-over-coil support with airflow and pressure relief.,Firm grid over coils,Pairs Purple's flexible surface with a stronger pushback from the hybrid base.,Airy responsive support,The open grid and coil construction feels less enclosed than dense firm foam.
silver,s3,Snow 3.0 Hybrid,Casper,Snow,,Cool-sleeping zoned hybrid,1,5,Medium,,,Cooling|Zoned|Hybrid,Sleeps degrees cooler with zoned support,no,cooling|zoned|pressureRelief|hybrid|medium,,,,,,,,,Sleeps cooler with zoned support tuned for hot sleepers.,Sleeps degrees cooler with zoned support for hot sleepers.,Cooling-first hybrid,Its defining purpose is reducing heat while retaining an easy-to-move-on hybrid feel.,Zoned support layout,Different areas are tuned to cushion pressure points and steady the middle of the body.
silver,s4,Dream Hybrid,Casper,Dream,,Everyday cooling hybrid,1,5,Medium,,,Hybrid|Cooling|Medium,Balanced hybrid comfort and cooling,no,hybrid|support|pressureRelief|medium,,,,,,,,,Balanced hybrid comfort and cooling at an approachable price.,Balanced hybrid comfort and cooling at an approachable price.,Balanced everyday hybrid,Neither deeply contouring nor especially firm; it aims for an easy middle-ground feel.,Approachable coil lift,Offers the movement and edge of a hybrid without stepping into a premium build.
silver,s5,Brenham 2 Medium,Sealy,Posturepedic,,Dependable everyday hybrid,1,5,Medium,,,Hybrid|Medium|Support,Dependable Sealy hybrid comfort,no,support|hybrid|medium,,,,,,,,,Trusted Sealy hybrid support for balanced everyday comfort.,Trusted Sealy hybrid tuned for balanced all-night comfort.,Familiar Sealy hybrid feel,A straightforward medium surface over responsive support makes it easy to understand quickly.,Support-first simplicity,Prioritizes dependable alignment and movement over specialized smart or grid technology.
silver,s6,High Point 2 Firm,Sealy,Posturepedic,,Firm Sealy support,1,7,Firm,,,Hybrid|Firm|Support,"Firm hybrid support, aligned all night",no,support|firm|hybrid|durability,,,,,,,,,Firm hybrid support that keeps your spine aligned.,Firm hybrid support that keeps your spine aligned.,Firm Posturepedic profile,A 7/10 surface keeps the body more on top of the mattress than nestled into it.,Stable hybrid construction,Combines firm comfort layers with coil support for a steadier response than firm foam alone.
silver,s7,Black Series One Firm,Beautyrest,Black,,Entry-premium firm coil,1,7,Firm,,,Pocketed Coil|Firm|Motion Isolation,"Firm coil support, luxury feel",no,support|firm|motionIsolation,,,,,,,,,Firm pocketed-coil support with a true luxury feel.,Firm Beautyrest pocketed-coil support with a luxury feel.,Firm Beautyrest coil feel,Delivers strong surface pushback with the familiar responsiveness of premium coils.,Pocketed motion control,Individual coils move more independently than a traditional connected spring unit.
silver,s8,Midnight Bliss Plush,Astor Park,,,"Plush house-brand comfort, WI-made",2,3,Plush,,,WI-Made|Plush|Pressure Relief,"Plush comfort, handcrafted in Wisconsin",yes,cooling|pressureRelief|plush|soft,,,,,,,,,"Plush, pressure-relieving comfort, handcrafted in Wisconsin.","Astor Park's plush, pressure-relieving comfort - handcrafted in Wisconsin.",Wisconsin-handcrafted plushness,Made locally with a distinctly soft 3/10 surface for customers who want immediate cushion.,Deep pressure-point give,Lets shoulders and hips settle farther than the medium and firm Astor Park options.
silver,s9,Obsidian Firm,Astor Park,,,Firm WI-made support,2,7,Firm,,,WI-Made|Firm|Durable,"Firm support, handcrafted in Wisconsin",yes,support|firm|durability,,,,,,,,,"Firm, supportive comfort, handcrafted in Wisconsin.",Handcrafted Wisconsin firmness with dependable all-night support.,Wisconsin-handcrafted firmness,Made locally with a stable 7/10 surface and minimal initial sink.,Durability-focused support,Emphasizes a straightforward supportive build over extra plush comfort layers.
silver,s10,Luxe 5.1 Hybrid,Nectar,Luxe,,Cooling value hybrid,1,5,Medium,,,Hybrid|Cooling|Motion Isolation,Cooling hybrid comfort for couples,no,cooling|pressureRelief|motionIsolation|hybrid|medium,,,,,,,,,Cooling hybrid comfort with great motion isolation for couples.,Cooling hybrid comfort and motion isolation for couples.,Couple-friendly cooling hybrid,Combines airflow and motion control for partners who sleep warm or wake each other.,Foam-over-coil balance,Provides some contour on top while preserving the easier movement of a hybrid.
bronze,b1,Classic 5.1,Nectar,Classic,,Easy all-foam starter,1,5,Medium,,,Memory Foam|Cooling|Medium,"Cooling foam comfort, budget-friendly",no,cooling|pressureRelief|motionIsolation|medium,,,,,,,,,Cooling bed-in-a-box comfort that won't break the budget.,Cooling bed-in-a-box comfort that won't break the budget.,Easy all-foam starter,Offers close contour and a quieter surface without the bounce of coils.,Cooling value focus,Adds heat-management materials while staying in the most accessible tier.
bronze,b2,Classic 5.1 Hybrid,Nectar,Classic,,Value cooling hybrid,1,5,Medium,,,Hybrid|Cooling|Medium,"Cooling hybrid bounce, starter price",no,cooling|pressureRelief|hybrid|medium,,,,,,,,,Hybrid bounce and cooling at a starter-friendly price.,Hybrid bounce and cooling at a starter-friendly price.,Starter hybrid lift,Coils make turning and getting out of bed easier than on the all-foam Classic.,Cooling at an entry price,Pairs a cooler surface story with hybrid support in the opening tier.
bronze,b3,Classic Hybrid,DreamCloud,4.0,,Luxury-feel value hybrid,1,6,Medium-Firm,,,Hybrid|Medium-Firm|Value,Plush-firm hybrid above its price,no,support|hybrid|pressureRelief|medium,,,,,,,,,A plush-firm hybrid that feels well above its price.,A plush-firm hybrid that feels far above its price.,Plush-firm contrast,Cushioning softens the top while the 6/10 hybrid base keeps a noticeable pushback.,More substantial value feel,Aims for a heavier more finished impression than a basic starter mattress.
bronze,b4,Moreland Avenue Plush,Sealy,,,Entry plush comfort,1,3,Plush,,,Plush|Soft|Value,"Soft plush comfort, trusted value",no,plush|soft|pressureRelief,,,,,,,,,"Soft, budget-friendly plush comfort from a name you trust.","Soft, budget-friendly plush comfort from a name you know.",Soft Sealy entry feel,A 3/10 surface gives immediate softness without premium-tier complexity.,Simple pressure relief,Uses straightforward plush cushioning for shoulders and hips at an accessible price.
bronze,b5,Drake,WG&R Factory Direct,,,Honest WI-made firm value,2,7,Firm,,,WI-Made|Firm|Value,"Wisconsin-made firm support, great value",yes,support|firm|durability,,,,,,,,,Honest Wisconsin-made firm support at a great value.,Wisconsin-made firm support at a guest-room-friendly price.,Wisconsin-made firm value,Locally made with a stable 7/10 feel and a straightforward support story.,Guest-room-friendly simplicity,Prioritizes dependable firmness and price over added cooling or luxury layers.
bronze,b6,Dreamweaver Medium Euro Top,Beautyrest,BeautySleep,,Affordable everyday comfort,1,5,Medium,,,Euro Top|Medium|Value,Plush euro-top over solid support,no,support|pressureRelief|medium,,,,,,,,,Plush euro-top comfort over dependable innerspring support.,Plush euro-top comfort over dependable innerspring support.,Euro-top first impression,The sewn-on cushion creates a softer surface feel over a medium support core.,Traditional spring response,Feels more familiar and buoyant than a slow-contouring all-foam mattress.
bronze,b7,Hybrid Premier,DreamCloud,4.0,,Stepped-up value hybrid,1,5,Medium,,,Hybrid|Medium|Value,Stepped-up value hybrid comfort,no,support|hybrid|pressureRelief|medium,,,,,,,,,Extra foam and support stepped up from the entry hybrid.,"More foam and support than the entry hybrid, for a little more.",Stepped-up hybrid comfort,Adds more cushioning and support than the opening DreamCloud hybrid.,Middle-ground response,Keeps a medium feel with coil lift for customers who do not want deep sink or firm pushback.
